5,ME2140,Cơ học kỹ thuật I,3,4,0.7
5,ME2141,Cơ học kỹ thuật B,4,6,0.7
5,ME3010,Cơ học kỹ thuật II,3,4,0.7
5,ME3020,Vẽ kỹ thuật II,2,3,0.7
5,ME3030,Vẽ kỹ thuật III,2,3,0.7
5,ME3040,Sức bền vật liệu I,2,3.5,0.6
5,ME3060,Nguyên lý máy,3,4.5,0.6
5,ME3070,Kỹ thuật đo,3,4.5,0.7
5,ME3080,Kỹ thuật thủy khí,3,5,0.7
5,ME3087,Kỹ thuật thủy khí A,4,6,0.7
5,ME3090,Chi tiết máy,3,4.5,0.7
5,ME3110,Vật liệu chất dẻo và composite,2,3.5,0.7
5,ME3117,Vật liệu hàng không,2,3,0.7
5,ME3120,Kỹ thuật điều khiển tự động,3,4.5,0.7
5,ME3130,Đồ án chi tiết máy,2,4,1
5,ME3140,Kỹ thuật an toàn và môi trường,2,3,0.7
5,ME3150,Thực tập cơ khí,2,4,0.7
5,ME3160,Thực tập kỹ thuật,2,4,1
5,ME3167,Thực tập kỹ thuật ôtô,2.5,5,0.7
6,ME3170,Công nghệ chế tạo máy,4,5.5,0.7
6,ME3172,Công nghệ chế tạo máy I,4,7,0.7
6,ME3177,Công nghệ chế tạo máy C,3,5,0.6
6,ME3180,Đồ án công nghệ chế tạo máy,2,4,1
6,ME3182,Công nghệ chế tạo máy E1,3,5,0.7
6,ME3184,Đồ án máy thể tích,1,2,1
6,ME3186,"Máy dập CNC, PLC",2,3,1
6,ME3187,Đồ án môn học TKTT ôtô,1,2,1
6,ME3188,Đồ án máy bay,1,2,1
6,ME3190,Sức bền vật liệu,2,2,0.7
6,ME3200,Kỹ thuật thủy khí,2,4,0.7
6,ME3210,Nguyên lý máy,2,3,0.7
6,ME3220,Chi tiết máy C,2,3,0.7
6,ME3230,Dung sai và kỹ thuật đo,2,4,0.7
6,ME3400,Kỹ thuật thủy khí C,2,4,0.7
6,EE2040,Nhập môn thiết kế hệ thống điều khiển,3,4,0.7
6,EE3000,Tín hiệu và hệ thống,3,4,0.7
6,EE3010,Lý thuyết mạch điện I,4,6,0.7
6,EE3013,Lý thuyết mạch điện,4,5,0.7
6,EE3020,Lý thuyết mạch điện II,2,3.5,0.75
7,EE3023,Thí nghiệm mạch điện,1,3,0.7
7,EE3030,Lý thuyết trường điện từ,2,3.5,0.75
7,EE3033,Lý thuyết trường điện từ,2,2,0.7
7,EE3051,Mạch điện tử tương tự,2,4,0.75
7,EE3052,Mạch điện tử tương tự,3,5,0.75
7,EE3059,Cảm biến đo lường và xử lý tín hiệu đo,2,3,0.75
7,EE3062,Cơ sở kỹ thuật đo,3,4,0.75
7,EE3071,Kỹ thuật điện tử số,2,4,0.75
7,EE3090,Điện tử tương tự và số,4,5.5,0.7
7,EE3093,Thực hành mạch điện tử,1,3,0.7
7,EE3099,Điện tử tương tự và số,4,7,0.75
7,EE3109,Điện tử tương tự và điện tử số,2,3,0.75
7,EE3110,Kỹ thuật đo lường,3,4.5,0.75
7,EE3116,Kỹ thuật đo lường,3,4,0.7
7,EE3129,Kỹ thuật đo và điều khiển,2,3.5,0.75
7,EE3139,Hệ thống đồng hồ đo điện tử,2,3,0.75
7,EE3141,Máy điện cơ sở,3,4.5,0.7
7,EE3142,Máy điện I,2,3.5,0.7
7,EE3161,Máy điện II,3,5,0.75
7,EE3162,Máy điện II,2,3.5,0.75
8,EE3173,Máy điện,3,4,0.7
8,EE3186,Mạch từ và máy biến áp,2,3,0.75
8,EE3196,Máy điện,3,4.5,0.75
8,EE3209,Máy điện,2,3.5,0.75
8,EE3229,Thiết bị điện,3,4.5,0.75
8,EE3239,Thiết bị điện,2,2.5,0.75
8,EE3241,Khí cụ điện,3,4.5,0.75
8,EE3242,Khí cụ điện,2,3.5,0.75
8,EE3243,Khí cụ điện,2,3,0.7
8,EE3251,Cơ sở lý thuyết khí cụ điện,3,5.5,0.75
8,EE3269,Khí cụ điện,3,4.5,0.75
8,EE3279,Khí cụ điện,2,3.5,0.75
8,EE3281,Lý thuyết điều khiển tự động I,2,4,0.75
8,EE3283,Lý thuyết điều khiển tuyến tính,4,5,0.7
8,EE3293,Lý thuyết điều khiển phi tuyến,4,5,0.7
8,EE3349,Cơ sở điều khiển tự động,2,3.5,0.75
8,EE3359,Lý thuyết điều khiển tự động,3,4,0.75
8,EE3369,Cơ sở tự động hoá,2,4,0.75
8,EE3389,Tự động hoá quá trình công nghệ,3,5,0.75
8,EE3391,Vật liệu điện cao áp,4,5.5,0.75
9,EE3392,Vật liệu điện,2,3.5,0.75
9,EE3410,Điện tử công suất,3,4.5,0.75
9,EE3413,Điện tử công suất,4,5,0.7
9,EE3421,Cung cấp điện,3,4,0.7
9,EE3422,Hệ thống cung cấp điện,3,4.5,0.75
9,EE3432,Đồ án cung cấp điện,1,2,1
9,EE3469,Hệ thống cung cấp điện,2,2,1
9,EE3479,Đồ án cung cấp điện,1,2,1
9,EE3480,Vi xử lý,3,4.5,0.75
9,EE3483,Kỹ thuật vi xử lý,4,5,0.7
9,EE3490,Kỹ thuật lập trình,3,4,0.7
9,EE3499,Vi xử lí,2,3,0.75
9,EE3500,Hệ thống thông tin công nghiệp,2,3.5,0.75
9,EE3510,Truyền động điện,3,4.5,0.75
9,EE3513,Truyền động điện,4,5,0.7
9,EE3526,Truyền động điện,2,3,0.75
9,EE3539,Truyền động điện,2,3,0.75
